battleNo,day,timeOfDay,enemyLevel,witchLevel,result,retreatReason,partyCount,totalLevel,partyCp,max10sDps,totalAvgDps,shionLv,shionHp,shionSp,shionAtk,duration
1,"1日","午前",1,0,"Victory","-",1,1,249,174,76,1,700,1010,110,38
2,"2日","午前",1,1,"Victory","-",2,2,587,210,99,1,595,830,110,100
3,"2日","午後",1,2,"Victory","-",2,4,678,212,114,2,266,601,116,142
4,"2日","夜",6,0,"Retreated","Shion HP <= 25%",2,6,776,188,132,3,311,656,133,14
5,"2日","午後",1,0,"Victory","-",2,4,640,175,101,2,782,808,116,45
6,"3日","午前",2,0,"Victory","-",2,4,640,183,101,2,768,709,116,50
7,"3日","午後",3,3,"Retreated","Shion HP <= 25%",3,6,883,337,161,3,813,764,111,118
8,"3日","午後",2,0,"Victory","-",3,6,883,373,198,3,773,658,111,47
9,"4日","午前",3,0,"Victory","-",3,8,932,484,260,3,850,1135,112,52
10,"4日","午後",4,4,"Retreated","Shion HP <= 25%",3,9,958,638,367,3,850,1135,112,43
11,"4日","午後",5,0,"Retreated","Shion HP <= 25%",3,9,958,650,395,3,850,1135,112,24
12,"4日","午後",4,0,"Victory","-",3,9,998,581,326,3,431,950,123,52
13,"5日","午前",3,3,"Victory","-",3,11,1051,564,266,4,623,852,128,122
14,"5日","午後",5,0,"Retreated","Shion HP <= 25%",3,12,1071,738,469,4,623,852,129,22
15,"1日","午後",1,0,"Victory","-",1,1,286,116,61,1,877,1039,130,33
16,"1日","夜",6,0,"Retreated","Shion HP <= 25%",1,1,286,71,52,1,877,1039,130,14
17,"1日","午後",1,1,"Victory","-",1,1,350,121,73,1,350,857,150,110
18,"2日","午後",1,1,"Victory","-",1,3,484,265,133,3,870,1087,187,68
19,"3日","午前",1,0,"Victory","-",1,4,512,200,128,4,1030,1178,193,27
20,"3日","午後",1,0,"Victory","-",1,4,512,145,84,4,1022,1096,193,25
21,"3日","夜",2,0,"Victory","-",1,4,512,253,136,4,999,996,193,30
22,"4日","午前",1,0,"Victory","-",1,4,512,157,77,4,996,910,193,27
